# mvp-tdem synthetic GPS 5 Hz
t_utc,lat,lon,h_ell
1750000000,44.253237518711892,-117,1409.5221816102346
1750000000.2000005,44.253237518711892,-117,1409.5221816102346
1750000000.4000008,44.253278032696258,-117,1409.4700511741444
1750000000.6000013,44.253332051363095,-117,1409.4005438984045
1750000000.8000016,44.253386069971462,-117,1409.3316608221448
1750000001.0000021,44.253440088663034,-117,1409.2646500218189
1750000001.2000024,44.253494107289711,-117,1409.1976393013756
1750000001.400003,44.253548125980259,-117,1409.1326155110712
1750000001.6000032,44.253602144605892,-117,1409.0682541352182
1750000001.8000038,44.253656163295418,-117,1409.0045922875859
1750000002.0000041,44.253710181920027,-117,1408.943029324842
1750000002.2000046,44.253764200608529,-117,1408.8814662887098
1750000002.4000049,44.253818219232116,-117,1408.8221108395828
1750000002.6000054,44.253872237919587,-117,1408.7634911561092
1750000002.8000057,44.253926256535699,-117,1408.7056425006008
1750000003.000006,44.253980275131994,-117,1408.6501067119964
1750000003.2000065,44.254034293792166,-117,1408.5945708571883
1750000003.4000068,44.254088312406758,-117,1408.5414496084898
1750000003.6000073,44.25414233109165,-117,1408.4891331466195
1750000003.8000076,44.254196349711663,-117,1408.4376542111879
1750000004.0000081,44.254250368395525,-117,1408.3886876175893
1750000004.2000084,44.254304387014514,-117,1408.3397210823634
1750000004.4000089,44.25435840569736,-117,1408.2933606049617
1750000004.6000092,44.254412424315305,-117,1408.2478688885699
1750000004.8000097,44.254466442997128,-117,1408.2032756112417
1750000005.00001,44.25452046161405,-117,1408.1613778594567
1750000005.2000105,44.254574480294856,-117,1408.1194800577257
1750000005.4000108,44.254628498891435,-117,1408.0803625709934
1750000005.6000113,44.254682517545447,-117,1408.0421717908059
1750000005.8000116,44.254736536140996,-117,1408.0049344572528
1750000006.0000122,44.254790554819749,-117,1407.9705572951345
1750000006.2000124,44.254844573433601,-117,1407.9361801739969
1750000006.400013,44.254898592111317,-117,1407.9047382040783
1750000006.6000133,44.254952610724125,-117,1407.8742746694302
1750000006.8000138,44.255006629400825,-117,1407.8448127510362
