# mvp-tdem synthetic Tx current monitor
t_rx,current_a
500,198.29227818753716
500.19999999999999,198.2931895223324
500.39999999999998,198.29409500047791
500.59999999999997,198.29499461393667
500.79999999999995,198.29588835070214
500.99999999999994,198.29677620383049
501.19999999999993,198.2976581594877
501.39999999999992,198.2985342108411
501.59999999999991,198.29940434619857
501.7999999999999,198.30026855783689
501.99999999999989,198.301126834222
502.19999999999987,198.30197916868508
502.39999999999986,198.3028255479455
502.59999999999985,198.30366596544673
502.79999999999984,198.30450040997226
502.99999999999983,198.30532887319308
503.19999999999982,198.30615134681986
503.39999999999981,198.30696781987558
503.5999999999998,198.30777828601569
503.79999999999978,198.30858273261191
503.99999999999977,198.30938115343315
504.19999999999976,198.3101735378234
504.39999999999975,198.31095987874949
504.59999999999974,198.31174016571671
504.79999999999973,198.31251439266103
504.99999999999972,198.31328254751898
505.1999999999997,198.31404462434099
505.39999999999969,198.31480061295622
505.59999999999968,198.31555050665449
505.79999999999967,198.3162942954275
505.99999999999966,198.31703197349441
506.19999999999965,198.31776352936109
506.39999999999964,198.31848895736209
506.59999999999962,198.31920824781571
506.79999999999961,198.31992139433743
506.9999999999996,198.32062838740947
507.19999999999959,198.32132922153633
507.39999999999958,198.32202388579796
507.59999999999957,198.3227123740493
507.79999999999956,198.32339467939951
507.99999999999955,198.32407079274228
508.19999999999953,198.32474070807655
508.39999999999952,198.32540441719959
508.59999999999951,198.32606191273695
508.7999999999995,198.32671318665865
508.99999999999949,198.32735823318401
509.19999999999948,198.32799704370402
509.39999999999947,198.32862961254864
509.59999999999945,198.32925593197186
509.79999999999944,198.32987599501459
509.99999999999943,198.33048979410469
510.19999999999942,198.33109732379415
510.39999999999941,198.33169857597466
510.5999999999994,198.33229354530948
510.79999999999939,198.33288222451242
510.99999999999937,198.3334646070426
511.19999999999936,198.33404068578866
511.39999999999935,198.33461045563743
511.59999999999934,198.33517390898459
511.79999999999933,198.33573104020982
511.99999999999932,198.33628184434684
512.19999999999936,198.3368263128132
512.3999999999993,198.33736444139552
512.59999999999923,198.33789622291161
512.79999999999927,198.33842165264141
512.99999999999932,198.33894072357245
513.19999999999925,198.33945343166687
513.39999999999918,198.3399597689359
513.59999999999923,198.34045973146186
513.79999999999927,198.34095331257211
513.9999999999992,198.34144050788564
514.19999999999914,198.3419213109002
514.39999999999918,198.34239571787481
514.59999999999923,198.34286372141747
514.79999999999916,198.34332531790801
514.99999999999909,198.34378050118576
515.19999999999914,198.34422926721055
515.39999999999918,198.34467160999304
515.59999999999911,198.3451075260906
515.79999999999905,198.34553700871095
515.99999999999909,198.34596005453284
516.19999999999914,198.34637665791013
516.39999999999907,198.34678681469032
516.599999999999,198.3471905207636
516.79999999999905,198.34758777118239
516.99999999999909,198.34797856153284
517.19999999999902,198.34836288704679
517.39999999999895,198.34874074431306
517.599999999999,198.3491121282886
517.79999999999905,198.34947703567701
517.99999999999898,198.34983546200516
518.19999999999891,198.35018740329048
518.39999999999895,198.35053285523998
518.599999999999,198.35087181478752
518.79999999999893,198.35120427740921
518.99999999999886,198.35153024015415
519.19999999999891,198.35184969902525
519.39999999999895,198.35216265047305
519.59999999999889,198.35246909068138
519.79999999999882,198.35276901693038
519.99999999999886,198.35306242521708
520.19999999999891,198.35334931293718
520.39999999999884,198.35362967657147
520.59999999999877,198.35390351300484
520.79999999999882,198.35417081889955
520.99999999999886,198.35443159159519
521.19999999999879,198.3546858284748
521.39999999999873,198.35493352614517
521.59999999999877,198.35517468267366
521.79999999999882,198.35540929430275
521.99999999999875,198.3556373592231
522.19999999999868,198.35585887439095
522.39999999999873,198.35607383784009
522.59999999999877,198.35628224670154
522.7999999999987,198.35648409934751
522.99999999999864,198.35667939263271
523.19999999999868,198.35686812505301
523.39999999999873,198.35705029408959
523.59999999999866,198.35722589812545
523.79999999999859,198.35739493481694
523.99999999999864,198.35755740284159
524.19999999999868,198.35771329966795
524.39999999999861,198.35786262409749
524.59999999999854,198.35800537413726
524.79999999999859,198.35814154852028
524.99999999999864,198.35827114542909
525.19999999999857,198.35839416357956
525.3999999999985,198.35851060185774
525.59999999999854,198.35862045844937
525.79999999999859,198.35872373251314
525.99999999999852,198.35882042267073
526.19999999999845,198.35891052806397
526.3999999999985,198.35899404749026
526.59999999999854,198.35907098029054
526.79999999999848,198.35914132526614
526.99999999999841,198.35920508188227
527.19999999999845,198.35926224928807
527.3999999999985,198.35931282697615
527.59999999999843,198.35935681427139
527.79999999999836,198.35939421082153
527.99999999999841,198.35942501604393
528.19999999999845,198.35944922971052
528.39999999999839,198.35946685149824
528.59999999999832,198.35947788125063
528.79999999999836,198.35948231882048
528.99999999999841,198.35948016416233
529.19999999999834,198.35947141730978
529.39999999999827,198.35945607834165
529.59999999999832,198.35943414746274
529.79999999999836,198.35940562490327
529.99999999999829,198.3593705109372
530.19999999999823,198.3593288059829
530.39999999999827,198.35928051050368
530.59999999999832,198.35922562510132
530.79999999999825,198.35916415026287
530.99999999999818,198.35909608680882
531.19999999999823,198.35902143534335
531.39999999999827,198.35894019676823
531.5999999999982,198.35885237198619
531.79999999999814,198.35875796208222
531.99999999999818,198.35865696789429
532.19999999999823,198.35854939077029
532.39999999999816,198.35843523166508
532.59999999999809,198.35831449196371
532.79999999999814,198.35818717300768
532.99999999999818,198.35805327636496
533.19999999999811,198.357912803224
533.39999999999804,198.35776575545967
533.59999999999809,198.35761213437709
533.79999999999814,198.35745194184386
533.99999999999807,198.35728517963989
534.199999999998,198.35711184981551
534.39999999999804,198.35693195411395
534.59999999999809,198.35674549432187
534.79999999999802,198.35655247292792
534.99999999999795,198.35635289141862
535.199999999998,198.35614675290375
535.39999999999804,198.35593405899357
535.59999999999798,198.3557148125268
535.79999999999791,198.35548901544945
535.99999999999795,198.35525667077505
536.199999999998,198.3550177802953
536.39999999999793,198.35477234773248
536.59999999999786,198.35452037500161
536.79999999999791,198.35426186546567
